image_id,fire_risk
L1,0
G73,0
V45,1
SE32,1
CB126,0
P14,0
BR6,0
E11,0
A133,0
G25,0
SE18,1
BR17,1
CB30,1
C28,1
BR78,0
V123,1
F38,1
VC133,0
G118,0
BE40,0
SA82,0
SA27,1
L22,0
G66,0
SA71,0
E22,0
P36,1
VC6,1
V55,1
VC70,0
F40,0
PO30,1
SE6,1
E27,0
VC138,0
C115,1
VC69,0
V143,1
E56,0
BR50,0
BR53,1
F92,1
BR66,0
VR39,0
VR2,1
C78,0
VR95,1
SE7,0
C31,1
G140,1
BR35,0
SA46,0
F12,0
B37,1
V38,0
V146,1
V60,0
F86,0
PO40,0
A90,1
CB34,1
BR14,0
VR93,1
V130,0
V43,1
C33,1
E30,0
F80,0
V120,1
E51,0
A144,1
B32,1
F69,1
BE16,0
VC25,1
BR19,0
BE41,0
C64,1
G19,1
VC98,0
VC123,0
P66,1
F77,1
SE44,0
C20,1
VC92,0
BR38,0
CB83,1
C45,0
V103,0
SA88,0
CB57,0
CB8,1
V61,0
CB123,1
B3,0
VC124,0
C172,0
CB95,1
VR3,1
SA39,0
L44,1
SA7,1
E25,0
A26,0
PO10,0
L4,1
BR12,0
CB116,0
F3,1
VC75,1
F16,1
E50,0
P28,0
P13,1
L9,1
C138,0
C22,0
SA12,0
P37,0
VR27,0
B75,1
V62,1
BE34,1
PO1,0
VC43,1
E18,1
PO35,0
BE29,1
LE12,1
VR71,1
A109,0
E10,0
V108,1
C97,0
LE13,0
G65,0
SA113,0
A103,0
A25,0
PO4,1
B6,0
CB54,1
C106,0
PO41,1
VR25,1
SE51,1
C125,1
F51,1
V93,0
P74,1
C200,0
SA110,1
G67,0
SA104,0
SA54,1
A102,0
C133,1
B46,1
B22,1
VC99,0
C90,1
V68,0
VR47,0
SA59,1
VR14,1
BE35,1
F46,0
CB98,0
CB96,0
V7,1
CB138,0
L2,1
P69,1
VC19,1
V39,1
G3,0
CB112,0
C177,0
BR8,0
CB144,0
A108,1
SA108,1
V104,1
VC18,1
CB119,1
G6,0
VR66,1
E37,0
C83,1
CB28,0
F6,1
C140,0
A125,0
V49,0
SA68,0
A113,0
V141,1
F17,0
SA55,0
A11,1
SE14,1
VR15,1
B47,0
VC46,1
V51,1
A135,1
CB14,0
C191,1
L57,0
F26,1
V50,1
SA138,1
BE33,1
VR61,1
PO33,0
VC61,0
F52,1
V128,1
CB75,1
F50,1
E58,0
VR48,0
V18,1
L34,1
C122,1
G100,0
SE20,1
LE10,1
V114,0
V14,0
SA62,0
C72,0
B49,1
SA49,1
A29,1
VC87,0
C63,1
BE18,0
LE14,1
V32,1
C93,1
V86,0
A146,1
SE45,0
CB15,0
BR36,0
VC28,1
BR47,0
C43,0
P25,1
BR33,0
CB145,0
C182,0
A31,1
L60,1
F71,1
VR72,0
VC11,0
G29,1
G110,1
BR3,0
B63,1
B57,1
BR9,0
BR60,0
C174,1
C67,0
A112,1
L39,0
P78,0
SA128,0
LE17,0
A136,0
SA42,1
A46,0
G86,0
SE41,1
G78,0
PO36,1
C77,0
C12,1
VR42,0
F25,1
C176,0
G144,0
LE25,1
CB24,0
E19,1
CB66,0
SA78,0
P76,0
SA2,0
G94,1
VC113,1
E38,1
V102,0
CB51,0
C155,0
G84,1
SE52,1
SA84,1
B26,1
SA32,1
G23,1
CB120,0
C57,0
BR65,1
BE53,1
SA124,0
P79,1
C10,1
BR5,0
A106,0
A24,0
C25,0
V136,1
P42,0
BR51,0
CB35,0
VR41,0
F53,1
P88,0
SA77,1
V70,1
F1,0
SA85,0
B64,1
V138,1
BR73,0
CB115,1
A117,0
V9,1
F33,1
CB29,0
C82,1
F8,0
VR100,0
G8,0
BE32,1
A47,0
F20,0
LE24,1
P98,0
E6,0
C9,0
L23,0
G13,0
VC137,1
SA89,1
BE38,0
G63,0
BE14,0
SE5,0
VR96,1
CB91,1
CB68,0
E5,0
SA93,0
VC116,0
A79,1
SA5,0
BR79,1
B38,0
CB65,0
G116,0
G77,0
BE36,0
A122,1
E57,0
F88,1
VC109,0
C46,0
C129,1
VC54,1
B30,0
B9,0
VR58,1
V29,1
C42,0
V140,1
G130,0
V101,0
B31,1
P73,1
E1,0
C153,1
F32,1
V13,1
L11,1
CB44,0
PO58,1
L28,1
VC67,0
SE31,0
BR29,0
L51,1
VC50,1
BE47,1
C75,1
F64,0
V90,1
CB129,0
F89,1
P9,0
L49,0
SA69,0
E46,0
V63,0
SE23,1
L43,0
G137,0
SA11,0
SA130,1
F43,1
SA122,1
SA16,1
BE45,1
B61,0
V106,0
P29,0
BE27,0
C16,1
BR20,0
P84,1
G104,0
F5,0
C95,1
SE48,0
BR10,1
SA101,1
SA48,1
B70,1
A19,1
G1,0
C21,0
SA121,1
SE39,1
V73,0
F30,0
B16,0
SA95,0
VR31,0
VR50,0
C137,0
VR70,0
A77,1
C86,1
P96,0
A107,0
V126,1
F57,1
G39,1
C50,0
B77,1
BR15,0
VR1,0
A45,1
BR2,0
CB82,0
BE39,1
C184,1
V116,1
VC32,1
V30,1
PO51,1
CB49,0
SA60,1
VR16,0
L10,1
CB130,1
CB141,0
BR52,1
C101,0
A87,1
F9,0
VC114,0
SE38,0
A42,1
V139,1
SA52,1
SE37,0
G30,1
CB89,0
SA107,1
B93,1
VC33,1
BR32,0
BE10,1
VR20,0
B65,0
P95,1
G47,1
CB63,0
C52,0
V115,1
L3,1
CB41,1
SA76,1
E59,0
SA10,0
A37,1
B33,1
SA72,1
VC68,0
F62,1
C58,1
CB1,0
LE27,0
VC90,1
C165,1
CB125,0
C27,0
LE11,1
CB40,1
F35,1
C24,0
PO49,1
B88,0
F23,0
G132,0
F67,1
BE21,0
VC129,0
V148,0
G20,0
F98,0
G45,0
E14,0
CB62,0
F100,1
VC126,0
SA8,0
V81,0
V19,1
VC63,0
BE57,0
BR27,1
SA111,0
BR22,1
B91,1
SA18,0
L18,0
LE20,0
CB12,1
G113,1
VR37,0
V109,0
C146,0
G135,0
F29,1
L31,0
F2,0
SE15,1
G106,0
L52,1
L56,1
A1,0
C73,0
A81,0
CB92,0
PO3,0
L12,0
VC39,1
VC47,0
CB149,1
PO29,0
E13,0
E28,0
P26,0
L55,1
B76,1
C151,1
C38,1
P33,0
V52,1
L26,0
PO12,0
CB146,1
SA133,0
C32,0
G4,0
VC127,1
C114,0
G101,0
G99,0
BR55,0
G60,0
V37,0
F90,1
C144,0
C3,0
VC145,1
VC78,0
G71,0
C124,0
V22,0
CB16,0
F31,0
VR13,0
B18,1
V96,0
P64,1
A132,1
BR25,0
CB60,1
BE28,0
C54,1
G128,0
C2,0
BE49,0
CB32,0
A150,1
L24,0
BR24,1
V71,1
VC35,1
CB11,1
SA35,1
G59,0
VC100,0
C169,1
G27,0
B44,0
F27,0
C121,1
A72,0
B85,1
VR44,0
SA25,0
C7,0
SA83,1
V74,1
VC9,1
VR32,0
BR56,1
VC23,0
C70,1
CB84,1
A39,0
SA75,1
V54,1
LE1,1
B92,0
VC110,0
V94,0
F24,1
B53,1
VR60,1
V31,1
G54,0
LE29,0
SE9,1
V72,0
V64,0
C17,1
VC76,0
SE47,1
A10,0
V2,1
F14,1
VC10,0
C199,1
P21,1
BE37,1
A104,1
V105,1
SE43,0
BE56,1
A48,1
L16,0
B96,1
A85,0
SE40,0
G138,0
VC81,0
G36,0
B24,1
B34,1
C55,0
C178,1
SA26,1
B100,0
CB94,1
BR92,1
BR34,0
C49,0
VR51,1
VC58,1
SE24,1
VC48,0
E52,0
VR57,1
B20,0
P5,0
SA45,0
A99,0
VC101,1
BR95,0
VC93,0
B82,1
G95,1
V1,0
C62,1
B90,1
VC71,1
A83,0
VC37,1
SA105,0
PO59,1
A92,0
VR75,0
F85,1
SA24,1
G50,1
VR87,1
G61,1
SA120,0
BE54,1
V10,1
SA38,1
VR97,0
SA116,1
CB46,1
C15,1
E9,0
C185,1
BR70,0
VC148,0
VC16,1
V91,0
BE9,0
V35,1
P1,0
CB121,1
VR90,0
A55,1
C66,0
VC130,0
G5,0
CB134,1
C19,1
L32,1
A130,1
SA9,0
BR41,1
CB4,0
SA34,1
CB59,1
VC45,0
BR71,0
C116,1
V88,0
CB47,0
CB78,1
SE25,1
L35,1
VR80,0
SA13,0
BR37,1
CB45,1
C5,1
F18,0
BR4,0
P46,1
A2,0
F94,1
G88,1
CB108,0
A126,0
A44,1
G46,0
BE59,0
SE54,1
F15,1
C74,0
PO6,1
P70,0
VR99,1
BR75,0
VR33,0
VC72,0
PO9,0
SE17,1
P71,0
E21,1
B45,1
CB137,1
PO27,1
C120,1
P18,1
B99,0
P34,0
C89,1
BR76,0
VR30,0
V23,1
LE8,1
C175,0
V34,1
CB107,0
B7,0
SA125,0
PO48,0
LE4,1
PO15,0
BE17,0
VC96,0
BR68,0
CB58,1
SE2,0
A15,1
BE24,1
B12,1
C98,1
G125,0
A74,1
A96,1
VC30,1
F61,1
P47,1
V16,1
G62,0
VR45,0
VC135,0
CB50,0
CB71,1
BE43,0
C148,1
G49,0
SA109,1
L7,1
CB74,1
G37,1
F63,0
BR21,0
CB56,0
B42,0
C194,0
CB26,0
CB38,1
A6,1
A124,0
SE60,1
G76,0
P77,1
BR64,0
V92,1
SE50,0
VR82,0
PO56,0
PO16,1
LE7,0
C51,0
VC38,1
F96,1
F11,0
SA64,0
BR61,0
LE28,0
C109,1
SE12,0
V11,0
BR72,0
PO47,1
PO13,0
VC108,0
CB106,0
VR79,1
VR92,0
L38,1
CB132,0
G35,0
G52,0
P54,1
L37,1
A101,0
C157,0
A50,1
B35,1
VR35,0
P3,0
A118,0
P82,0
G115,1
B29,0
V75,1
G133,1
C164,0
BE20,1
SA96,0
L29,0
C173,0
SA21,0
VC22,1
F45,1
A40,1
G32,1
G7,0
A141,1
C152,1
SA1,0
VC27,1
VR6,1
A69,0
SA67,0
V53,1
BR93,0
LE19,0
A63,1
C168,1
CB80,0
BE13,0
BE46,1
P63,0
VR29,0
BR63,0
C171,0
C14,1
G117,0
P30,0
F7,1
CB9,1
G111,1
F70,1
SA31,1
V67,0
A60,1
VR65,1
V112,0
B19,1
G139,0
SA56,1
L53,0
V147,0
VR23,0
G148,1
C18,1
SE58,0
B80,1
SA90,0
PO22,1
BE22,1
B52,0
V124,0
SA143,1
A54,1
F78,1
SA134,0
SA145,1
C29,1
BE48,0
B89,1
V4,0
VC73,1
P15,0
SE4,0
E32,0
VR40,0
V24,1
VR46,0
B87,1
VC34,1
VR49,0
CB104,1
A59,1
V6,0
E33,0
SA140,1
VC3,0
C85,1
VC77,1
BE7,1
PO26,0
PO5,0
B10,0
VC84,1
CB148,1
L45,1
C127,0
A91,0
E36,0
