image_id,fire_risk
E17,2
V85,2
CB15,1
B80,2
BR28,1
V97,1
CB110,1
SE34,2
G18,1
V93,1
E34,2
F73,2
CB7,2
SA67,0
B29,1
BE6,1
VC96,1
BR92,2
SA124,2
C34,2
F82,1
SA8,1
G47,2
BR7,0
C196,0
CB13,2
VC6,2
VC143,1
LE13,0
SA129,1
V43,2
G11,2
VR1,2
A65,2
V150,2
A2,2
E49,1
SE23,2
SE8,2
A28,2
G46,1
E4,1
B94,2
VC117,2
A89,1
SE55,1
VC34,2
G14,1
P75,1
BE9,0
P94,2
BE16,0
E51,0
V116,2
G81,0
PO10,1
A111,1
P8,2
G131,2
L30,1
L40,1
SA131,1
P13,2
A22,2
BR45,0
VC74,2
VR28,0
VR25,2
VC37,2
G50,2
BR58,1
B40,1
VC47,0
CB63,0
V66,1
E35,1
PO52,1
L15,2
B48,0
L45,2
CB136,2
P45,0
P93,2
VC3,1
SE33,2
G15,1
G110,2
G95,2
B81,2
V88,1
C113,0
B83,0
PO39,2
V131,1
F99,1
F58,1
G111,2
F57,2
B62,2
V128,2
PO3,1
A70,1
SE26,0
BE12,1
F78,2
G40,2
E53,1
G82,1
V136,2
B95,2
SE15,2
PO48,1
BR77,1
A102,1
C3,2
VC129,1
BR33,1
SE22,2
SA9,1
BE38,0
V89,2
VC50,2
C14,2
SA69,1
VC135,1
LE23,2
A114,0
B76,2
E55,0
VC125,1
G99,0
LE21,2
V105,2
CB100,1
BR42,1
G107,1
A109,1
SA93,1
SE6,2
CB145,1
BR48,0
BR5,1
SA29,2
G130,1
V23,2
BE37,2
BR72,0
VC123,1
F91,1
G146,1
BR52,2
V2,2
V69,1
CB90,2
C143,2
BR82,0
A141,2
LE12,2
SA91,2
LE3,1
F8,1
P16,2
VC131,1
B74,2
CB9,2
A32,1
BE45,2
VR94,0
SA132,1
CB69,2
A64,2
F47,2
VC66,1
CB27,0
A83,1
B4,2
A62,1
VR77,2
V18,2
E29,1
V35,2
BE44,2
CB40,2
VC38,2
P26,1
PO46,1
C166,2
B77,2
F45,2
G65,1
V145,1
SA36,1
C21,1
CB71,2
A60,2
PO16,2
SA10,1
CB82,1
P96,1
VR43,1
A77,2
L59,2
V90,2
BR71,1
SA44,0
C124,1
F67,2
CB22,2
VC30,2
CB84,2
VC79,1
A6,2
VC142,2
V77,1
L35,2
C177,1
VC102,1
SA65,2
CB56,1
SA51,1
G137,1
F77,2
E41,1
G148,2
G133,2
VC78,0
VR11,2
V139,2
SE2,2
A12,1
VR82,1
SE30,1
BR80,0
P88,1
VR24,0
BR22,2
G10,0
V29,2
C99,2
CB70,2
SA121,2
CB115,2
A118,1
BE42,1
SA83,2
CB51,1
C101,1
VR69,0
BR2,2
