image_id,fire_risk
VC1,3
VC2,1
VC3,2
VC4,2
VC5,3
VC6,4
VC7,2
VC8,3
VC9,3
VC10,1
VC11,2
VC12,3
VC13,4
VC14,3
VC15,4
VC16,3
VC17,3
VC18,3
VC19,4
VC20,3
VC21,2
VC22,4
VC23,2
VC24,2
VC25,3
VC26,2
VC27,3
VC28,3
VC29,3
VC30,3
VC31,0
VC32,3
VC33,3
VC34,3
VC35,4
VC36,4
VC37,3
VC38,4
VC39,3
VC40,3
VC41,3
VC42,3
VC43,4
VC44,3
VC45,1
VC46,3
VC47,1
VC48,2
VC49,3
VC50,4
VC51,2
VC52,2
VC53,3
VC54,3
VC55,3
VC56,2
VC57,2
VC58,3
VC59,2
VC60,4
VC61,2
VC62,2
VC63,2
VC64,2
VC65,2
VC66,2
VC67,2
VC68,2
VC69,2
VC70,2
VC71,3
VC72,1
VC73,4
VC74,4
VC75,3
VC76,2
VC77,3
VC78,1
VC79,2
VC80,3
VC81,2
VC82,2
VC83,3
VC84,3
VC85,1
VC86,2
VC87,2
VC88,4
VC89,2
VC90,3
VC91,3
VC92,1
VC93,2
VC94,3
VC95,3
VC96,2
VC97,2
VC98,1
VC99,2
VC100,2
VC101,3
VC102,2
VC103,4
VC104,1
VC105,4
VC106,2
VC107,2
VC108,2
VC109,2
VC110,2
VC111,2
VC112,2
VC113,4
VC114,2
VC115,1
VC116,2
VC117,4
VC118,2
VC119,4
VC120,3
VC121,1
VC122,3
VC123,2
VC124,1
VC125,2
VC126,2
VC127,3
VC128,2
VC129,2
VC130,1
VC131,2
VC132,2
VC133,2
VC134,1
VC135,2
VC136,4
VC137,3
VC138,1
VC139,2
VC140,2
VC141,4
VC142,4
VC143,2
VC144,2
VC145,3
VC146,2
VC147,2
VC148,1
VC149,2
VC150,2
VC17,2
B1,2
B2,3
B3,2
B4,3
B5,2
B6,2
B7,2
B8,2
B9,1
B10,1
B11,1
B12,3
B13,4
B14,2
B15,3
B16,1
B17,2
B18,4
B19,3
B20,2
B21,2
B22,4
B23,3
B24,3
B25,4
B26,3
B27,1
B28,1
B29,2
B30,2
B31,4
B32,4
B33,3
B34,4
B35,3
B36,3
B37,3
B38,1
B39,2
B40,2
B41,3
B42,1
B43,2
B44,1
B45,3
B46,3
B47,2
B48,1
B49,4
B50,1
B51,2
